 DT temp [keV]  <sigma*v> [m^3/s]
      189.492  6.49776e-22
      193.921  6.41914e-22
      198.454  6.34056e-22
      203.092  6.26208e-22
      207.838  6.18375e-22
      212.696  6.10560e-22
      217.667  6.02770e-22
      222.754  5.95008e-22
      227.961  5.87278e-22
      233.288  5.79584e-22
      238.741  5.71932e-22
      244.321  5.64323e-22
      250.031  5.56762e-22
      255.874  5.49252e-22
      261.855  5.41797e-22
      267.975  5.34399e-22
      274.238  5.27062e-22
      280.647  5.19788e-22
      287.206  5.12580e-22
      293.919  5.05440e-22
      300.788  4.98372e-22
      307.818  4.91377e-22
      315.012  4.84457e-22
      322.375  4.77615e-22
      329.909  4.70852e-22
      337.620  4.64169e-22
      345.511  4.57570e-22
      353.586  4.51055e-22
      361.850  4.44625e-22
      370.307  4.38282e-22
      378.962  4.32028e-22
      387.819  4.25862e-22
      396.883  4.19787e-22
      406.159  4.13803e-22
      415.651  4.07910e-22
      425.366  4.02110e-22
      435.307  3.96403e-22
      445.481  3.90790e-22
      455.893  3.85271e-22
      466.548  3.79845e-22
      477.452  3.74515e-22
      488.611  3.69279e-22
      500.031  3.64139e-22
      511.717  3.59092e-22
      523.677  3.54141e-22
      535.916  3.49284e-22
      548.442  3.44522e-22
      561.260  3.39853e-22
      574.377  3.35279e-22
      587.802  3.30797e-22
      601.540  3.26409e-22
      615.599  3.22112e-22
      629.986  3.17907e-22
      644.710  3.13794e-22
      659.778  3.09770e-22
      675.199  3.05836e-22
      690.979  3.01990e-22
      707.128  2.98232e-22
      723.656  2.94561e-22
      740.569  2.90975e-22
      757.877  2.87475e-22
      775.590  2.84057e-22
      793.717  2.80723e-22
      812.267  2.77469e-22
      831.251  2.74295e-22
      850.679  2.71200e-22
      870.561  2.68183e-22
      890.908  2.65242e-22
      911.730  2.62375e-22
      933.039  2.59582e-22
      954.845  2.56861e-22
      977.162  2.54210e-22
      1000.00  2.51628e-22
